Variant,g_spd,g_di,g_eod,g_aod,a_spd,a_di,a_eod,a_aod
Baseline,0.0588,1.2489,0.1108,0.0461,-0.0152,0.9448,0.0148,0.0107
Re-weighted,0.0657,1.2867,0.1358,0.0586,-0.0215,0.9218,-0.0069,-0.0001
Threshold Adj.,0.0016,1.0051,0.0425,-0.0169,-0.0603,0.8254,-0.0264,-0.0317
