Variant,g_spd,g_di,g_eod,g_aod,a_spd,a_di,a_eod,a_aod
Baseline,0.0785,1.3427,0.1179,0.0542,-0.0222,0.9212,-0.0254,-0.0001
Re-weighted,0.0849,1.3706,0.1307,0.0606,-0.0426,0.8559,-0.0463,-0.0195
Threshold Adj.,0.0085,1.028,0.0679,-0.0092,-0.0398,0.8796,-0.025,-0.0136
