Protected Attribute,Groups,Priv. Hire Rate,Unpriv. Hire Rate,SPD,DI,EOD,AOD,n
Gender,Male (priv.) vs Female (unpriv.),0.311,0.3089,-0.0021,0.9933,0.0,0.0,1500
Age,Young 20–34 (priv.) vs Old 35+ (unpriv.),0.3145,0.3059,-0.0086,0.9727,0.0,0.0,1500
